ward_code,ward_name,la_gsscode,la_distric
E05009318,Blackwall & Cubitt Town,E09000030,Tower Hamlets
E05009335,Weavers,E09000030,Tower Hamlets
E05009326,Limehouse,E09000030,Tower Hamlets
E05009334,Stepney Green,E09000030,Tower Hamlets
E05009336,Whitechapel,E09000030,Tower Hamlets
E05009321,Bromley North,E09000030,Tower Hamlets
E05009319,Bow East,E09000030,Tower Hamlets
E05009320,Bow West,E09000030,Tower Hamlets
E05009322,Bromley South,E09000030,Tower Hamlets
E05009325,Lansbury,E09000030,Tower Hamlets
E05009327,Mile End,E09000030,Tower Hamlets
E05009329,St Dunstan's,E09000030,Tower Hamlets
E05009317,Bethnal Green,E09000030,Tower Hamlets
E05009331,St Peter's,E09000030,Tower Hamlets
E05009333,Spitalfields & Banglatown,E09000030,Tower Hamlets
E05009328,Poplar,E09000030,Tower Hamlets
E05009323,Canary Wharf,E09000030,Tower Hamlets
E05009324,Island Gardens,E09000030,Tower Hamlets
E05009332,Shadwell,E09000030,Tower Hamlets
E05009330,St Katharine's & Wapping,E09000030,Tower Hamlets
E05013882,Cann Hall,E09000031,Waltham Forest
E05013883,Cathall,E09000031,Waltham Forest
E05013888,Grove Green,E09000031,Waltham Forest
E05013896,Leyton,E09000031,Waltham Forest
E05013897,Leytonstone,E09000031,Waltham Forest
E05013895,Lea Bridge,E09000031,Waltham Forest
E05013898,Markhouse,E09000031,Waltham Forest
E05013887,Forest,E09000031,Waltham Forest
E05013891,High Street,E09000031,Waltham Forest
E05013899,St James,E09000031,Waltham Forest
E05013893,Hoe Street,E09000031,Waltham Forest
E05013903,Wood Street,E09000031,Waltham Forest
E05013902,William Morris,E09000031,Waltham Forest
E05013900,Upper Walthamstow,E09000031,Waltham Forest
E05013884,Chapel End,E09000031,Waltham Forest
E05013892,Higham Hill,E09000031,Waltham Forest
E05013889,Hale End & Highams Park South,E09000031,Waltham Forest
E05013894,Larkswood,E09000031,Waltham Forest
E05013901,Valley,E09000031,Waltham Forest
E05013890,Hatch Lane & Highams Park North,E09000031,Waltham Forest
E05013886,Endlebury,E09000031,Waltham Forest
E05013885,Chingford Green,E09000031,Waltham Forest
E05014013,Furzedown,E09000032,Wandsworth
E05014024,Tooting Broadway,E09000032,Wandsworth
E05014023,Tooting Bec,E09000032,Wandsworth
E05014020,South Balham,E09000032,Wandsworth
E05014025,Trinity,E09000032,Wandsworth
E05014021,Southfields,E09000032,Wandsworth
E05014029,West Hill,E09000032,Wandsworth
E05014026,Wandle,E09000032,Wandsworth
E05014009,Balham,E09000032,Wandsworth
E05014027,Wandsworth Common,E09000032,Wandsworth
E05014011,East Putney,E09000032,Wandsworth
E05014016,Northcote,E09000032,Wandsworth
E05014028,Wandsworth Town,E09000032,Wandsworth
E05014017,Roehampton,E09000032,Wandsworth
E05014030,West Putney,E09000032,Wandsworth
E05014014,Lavender,E09000032,Wandsworth
E05014012,Falconbrook,E09000032,Wandsworth
E05014022,Thamesfield,E09000032,Wandsworth
E05014019,Shaftesbury & Queenstown,E09000032,Wandsworth
E05014018,St Mary's,E09000032,Wandsworth
E05014010,Battersea Park,E09000032,Wandsworth
E05014015,Nine Elms,E09000032,Wandsworth
E05013803,Pimlico South,E09000033,Westminster
E05013802,Pimlico North,E09000033,Westminster
E05013807,Vincent Square,E09000033,Westminster
E05013797,Knightsbridge & Belgravia,E09000033,Westminster
E05013806,St James's,E09000033,Westminster
E05013798,Lancaster Gate,E09000033,Westminster
E05013793,Bayswater,E09000033,Westminster
E05013808,West End,E09000033,Westminster
E05013809,Westbourne,E09000033,Westminster
E05013799,Little Venice,E09000033,Westminster
E05013794,Church Street,E09000033,Westminster
E05013795,Harrow Road,E09000033,Westminster
E05013804,Queen's Park,E09000033,Westminster
E05013800,Maida Vale,E09000033,Westminster
E05013805,Regent's Park,E09000033,Westminster
E05013792,Abbey Road,E09000033,Westminster
E05013801,Marylebone,E09000033,Westminster
E05013796,Hyde Park,E09000033,Westminster
